ZipCode/Item,,,,2022-3347 Sport Fishing License (Free - Nonres Developmentally Impaired),2022-3348 Sport Fishing License (Free - Nonres Visually Impaired),,2022-3340 Sport Fishing License (Free - Res Developmentally Impaired),2022-3341 Sport Fishing License (Free - Res Mobility Impaired),2022-3343 Sport Fishing License (Free - Res Native American w/Low Income),2022-3342 Sport Fishing License (Free - Res Visually Impaired),,2022-1020 Sport Fishing License (Nonres),2022-3310 Sport Fishing License (Reduced - Disabled Veteran),,2022-3312 Sport Fishing License (Reduced - Recovering Service Member),,2022-3311 Sport Fishing License (Reduced - Res Senior w/Low Income),,2022-1010 Sport Fishing License (Res),,2022-1011 Sport Fishing License (Res)  - Voucher Redemption,2022-1017 Sport Fishing License - Lifetime,2022-1043 Sport Fishing 1-Day License (Quick-Sale),2022-1040 Sport Fishing 1-Day License (Res/Nonres),2022-1041 Sport Fishing 1-Day License (Res/Nonres) (TAN),2022-0230 Sport Fishing 10-Day License (Nonres),2022-0250 Sport Fishing 2-Day License (Res/Nonres),2022-1510 SHARE Fishing Multi Choice Application,2022-1000 North Coast Salmon Report Card,2022-1007 North Coast Salmon Report Card - Lifetime,2022-0271 Spiny Lobster Report Card (Full Season),2022-1030 Steelhead Report And Restoration Card,2022-1037 Steelhead Report and Restoration Card - Lifetime,2022-0260 Sturgeon Fishing Report Card,2022-1080 Recreational Crab Trap Validation,2022-1081 Recreational Crab Trap Validation (TAN),2022-0220 Second-Rod Sport Fishing Validation,2022-0227 Second-Rod Sport Fishing Validation - Lifetime,2022-1070 Sport Ocean Enhancement Validation,2022-1077 Sport Ocean Enhancement Validation - Lifetime,2022-1019 Gift Voucher for Resident Sport Fishing License - Not Valid until Redeemed,2022-9010 Multi-day Trip Declaration,2022-9012 Multi-day Trip Declaration - CPFV,2022-0275 Spiny Lobster Non-Reporting Fee,Grand Total
91770,,,,,,,1,2,,1,,7,4,,,,,,1339,,2,10,,435,,2,52,,,,156,,,,4,,493,6,1093,6,1,,,15,3629
91773,,,,,,,,4,,,,2,12,,,,,,1339,,45,8,,498,,5,125,,,1,65,3,1,,5,,550,4,757,4,48,,,12,3488
91776,,,,,,,,,,1,,,3,,,,,,158,,1,1,,43,,,28,,,,12,,,,2,,64,,93,,2,,,1,409
91786,,,,,,,2,8,0,,,4,23,,,,,,1128,,26,8,,385,,7,91,,,1,46,2,1,,5,,464,5,587,5,22,,,10,2830
91791,,,,,,,,7,,,,3,17,,,,,,1136,,11,9,,280,,5,31,,,1,87,2,,,8,,479,4,728,4,7,,,12,2831
91801,,,,,,,,2,,2,,7,7,,,,,,1073,,8,8,,498,,,48,,2,,142,2,,2,16,,379,3,884,3,,,,20,3106
91803,,,,,,,,,,,,2,4,,,,,,2009,,1,4,,61,,,,,,,53,,,1,13,,932,3,1697,3,,,,3,4786
91910,,,,,,,,11,,,,9,146,,,,,,1934,,30,10,,382,,16,51,,2,,242,3,,2,13,,529,5,1743,5,38,,,53,5224
91911,,,,,,,1,2,,,,2,6,,,,,,215,,1,,,34,,1,13,,,,16,,,,8,,60,,158,,2,,,7,526
91915,,,,,,,,,,,,2,51,,,,,,436,,3,3,218,157,,3,19,,,,41,,,,6,,117,1,332,1,,,,10,1400
91942,,,,,,,4,8,,,,5,27,,,,,,1159,,18,12,109,187,,2,23,,,,87,,,1,4,,435,5,954,5,36,,,24,3105
91945,,,,,,,,2,,,,2,19,,,,,,411,,6,2,,150,,3,10,4,2,,65,,,,3,,155,,366,,7,,,14,1221
91950,,,,,,,,3,,,,2,16,,,,,,332,,,,,153,,8,39,,,,55,,,,8,,51,,241,,,,,6,914
91977,,,,,,,1,2,,,,5,24,,,,,,690,,20,6,,117,,3,12,,2,,126,,,,6,,224,4,606,4,11,,,31,1894
92009,,,,,,,,,,1,,2,2,,,,,,422,,5,1,,76,,7,16,,4,,120,5,,1,3,,66,,359,,,,,14,1104
92020,,,,,,,4,8,,,,11,66,,,,,,2443,,62,22,,467,,5,69,,2,1,317,6,1,,16,,872,9,1942,10,67,,,58,6458
92021,,,,,,,10,10,,1,,10,40,,,,,,1928,,44,8,,343,,9,82,,2,,98,,,,8,,765,4,1423,5,53,,,24,4867
92024,,,,,,,,1,,,,9,12,,,,,,759,,10,7,,133,,12,57,,,1,90,1,,,2,,101,2,709,2,5,,,20,1933
92027,,,,,,,1,4,,,,5,10,,,,,,746,,6,2,,254,,4,28,,,,70,,,2,5,,276,2,529,2,6,,,8,1960
92028,,,,,,,,,,,,,,,,,,,24,,,,,2,,1,,,,,6,,,,1,,5,,19,,,,,2,60
92036,,,,,,,1,,0,,,2,12,,,,,,764,,8,2,2334,73,,4,285,,,,1,,,1,1,,300,1,379,1,1,,,,4170
92037,,,,,,,1,,,,,1,,,,,,,136,,1,,,18,,1,1,,,,127,1,,,,,,,141,,,,,23,451
92040,,,,,,,2,1,,,,7,36,,,,,,1790,,47,13,110,603,,11,55,19,3,,109,1,,,1,,657,5,1420,5,38,,,11,4944
92054,,,,,,,,5,,1,,31,85,,,,,,5250,,48,27,6361,1210,,129,256,,2,1,862,8,1,3,23,,781,10,5269,11,37,,,193,20604
92055,,,,,,,1,1,,,,3,102,,,,,,874,,2,1,,257,,16,59,,1,,66,3,,,2,,162,,724,,,,,11,2285
92056,,,,,,,,,,,,7,19,,,,,,409,,2,,,84,,2,16,,,,47,,,,2,,89,,348,,1,,,10,1036
92057,,,,,,,1,6,,,,4,45,,,,,,860,,4,2,,276,,6,55,,,,107,1,,,6,,202,,695,,3,,,20,2293
92064,,,,,,,4,6,,1,,7,39,,1,,,,1405,,17,20,,248,,11,39,,5,,158,4,,,17,,391,7,1099,7,17,,,29,3532
92065,,,,,,,,2,,1,,4,14,,,,,,873,,5,7,,147,,5,33,,,,61,,,,2,,345,5,595,5,2,,,5,2111
92069,,,,,,,6,6,,,,14,58,,,,,,2920,,31,21,,418,,11,72,,6,3,270,7,3,,14,,949,9,2377,9,35,,,67,7306
92070,,,,,,,,,,,,,1,,,,,,68,,,1,,110,,,11,,,,,,,,,,25,1,20,1,,,,,238
92071,,,,,,,2,4,,2,,,55,,,,,,1467,,35,6,,233,,8,52,,,,160,1,,,3,,512,2,1232,2,44,,,29,3849
92075,,,,,,,1,2,,,,5,3,,,,,,761,,5,8,,162,,11,45,,1,,283,9,,,2,,97,4,719,5,1,,,58,2182
92083,,,,,,,,1,,1,,11,31,,,,,,1550,,25,2,,353,,9,44,,4,,215,6,,1,6,,422,,1405,,24,,,36,4146
92106,,,,,,,4,5,,,,178,69,,1,,,,4456,,30,40,20005,1930,,265,3300,20,3,,1650,5,,3,8,,315,12,5761,19,13,,,257,38349
